show_id,Type,Title,Director,Cast,country,date_added,release_year,Rating,duration,listed_in,description,Cleaned_Data,
s1372,TV SHOW,We Are: The Brooklyn Saints,,,United States,44225,2021,TV-14,1 Season,Docuseries,A Brooklyn youth football program and its selfless coaches provide a safe haven for kids to compete and learn lessons that will take them far in life.,,
s1375,MOVIE,Accomplice,Jeremy Grant,"Kurt Sorge, Tom Van Steenbergen, Cameron Zink, Graham Agassiz, Tyler Mccaul, Cameron Mccaul, Ethan Nell, Hannah Bergemann, Carson Storch, Brandon Semenuk, Veronique Sandler, Nico Vink, Garett Buehler, Jaxson Riddle, Andreu Lacondeguy, Paul Genovese, Paul Basagoitia",United States,44223,2021,TV-14,52 min,"Documentaries, International Movies, Sports Movies",Traverse the globe with the world's top riders as they pedal through rugged terrain and majestic locations in this visual homage to the bicycle.,,
s1376,TV SHOW,Bonding,,"Zoe Levin, Brendan Scannell, Micah Stock, Theo Stockman, Alex Hurt, D'Arcy Carden, Gabrielle Ryan, Charles Gould",United States,44223,2021,TV-MA,2 Seasons,"TV Comedies, TV Dramas",A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.,,
s1378,TV SHOW,Outlander,,"Caitriona Balfe, Sam Heughan, Tobias Menzies, Gary Lewis, Graham Mctavish, Lotte Verbeek, Duncan Lacroix, Laura Donnelly, Bill Paterson, Stephen Walters, Grant O'Rourke, Simon Callow, Richard Rankin, Sophie Skelton, David Berry, Romann Berrux, Ed Speleers, Maria Doyle Kennedy, Tim Downie",United States,44223,2018,TV-MA,4 Seasons,"Romantic TV Shows, TV Action & Adventure, TV Dramas",This epic tale adapted from Diana Gabaldon's popular series of fantasy-romance novels focuses on the drama of two time-crossed lovers.,,
s1379,MOVIE,Penguin Bloom,Glendyn Ivin,"Naomi Watts, Andrew Lincoln, Jacki Weaver, Griffin Murray-Johnston, Rachel House, Leeanna Walsman, Lisa Hensley, Felix Cameron, Abe Clifford-Barr","Australia, United States",44223,2021,TV-14,95 min,"Children & Family Movies, Dramas","As a mom copes with the aftermath of a harrowing accident, she finds inspiration from an injured magpie taken in by her family. Based on a true story.",,
s1381,TV SHOW,Go Dog Go,,"Michela Luci, Callum Shoniker, Lyon Smith, Tajja Isen, Anand Rajaram, David Berni, Linda Ballantyne, Joshua Graham, Patrick Mckenna, Judy Marshak, Martin Roach, Katie Griffin","United States, United Kingdom",44222,2021,TV-Y,1 Season,Kids' TV,"Handy and inventive pup Tag chases adventure with her best pal, Scooch, solving problems and helping the citizens of Pawston along the way.",,
s1382,MOVIE,Hire A Woman,Ifeanyi Ikpoenyi,"Alexx Ekubo, Nancy Isime, Mike Godson, Belinda Effah, Ifu Ennada, Uzor Arukwe, Uche Nwaefuna, Erica Nlewedim",Unknown,44222,2019,TV-14,108 min,"Comedies, International Movies, Romantic Movies",An uptight man attempts to make his ex-girlfriend jealous when he pays his co-worker to act as his lover at a university reunion.,,
s1383,MOVIE,She Is,Chris Eneng Enaji,"Somkele Iyamah, Ime Bishop Umoh, Chiwetalu Agu, Chigul, Desmond Elliot, Segun Arinze, Alibaba Akporobome, Frank Donga, Omawumi, Uzor Arukwe, Blessing Onwukwe, Amaka Iruobe, Waje",Unknown,44222,2019,TV-PG,102 min,"Dramas, International Movies, Romantic Movies","Under pressure from her family and friends to settle down, a successful and single woman searches for the right partner, refusing to settle for less.",,
s1388,MOVIE,The Next Three Days,Paul Haggis,"Russell Crowe, Elizabeth Banks, Brian Dennehy, Lennie James, Olivia Wilde, Ty Simpkins, Helen Carey, Liam Neeson, Daniel Stern, Kevin Corrigan","United States, France",44218,2010,PG-13,133 min,"Dramas, Thrillers","When his wife becomes a murder suspect and is sent to prison, a professor plots a meticulous plan to take back her freedom and reunite his family.",,
s1389,MOVIE,The White Tiger,Ramin Bahrani,"Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Mahesh Manjrekar, Vijay Maurya","India, United States",44218,2021,R,127 min,Dramas,The ambitious driver for a rich Indian family uses his wit and cunning to escape from poverty and become an entrepreneur. Based on the bestselling novel.,,
s1390,MOVIE,Friendsgiving,Nicol Paone,"Malin Akerman, Kat Dennings, Aisha Tyler, Jane Seymour, Jack Donnelly, Chelsea Peretti, Christine Taylor, Ryan Hansen, Deon Cole, Wanda Sykes",United States,44217,2020,R,95 min,Comedies,A quiet holiday dinner among friends turns into a chaotic night of illicit activity and compromising situations when uninvited guests crash the party.,,
s1391,MOVIE,The Shadow Of Violence,Nick Rowland,"Cosmo Jarvis, Barry Keoghan, Niamh Algar, Ned Dennehy, Kiljan Tyr Moroney, David Wilmot, Brid Brennan, Simone Kirby, Anthony Welsh","United Kingdom, Ireland",44217,2020,R,101 min,Dramas,"As he reconciles with his ex and their son, an enforcer for a crime family gets an order that tests his loyalty and endangers everyone he holds dear.",,
s1392,MOVIE,Cut Throat City,Rza,"Shameik Moore, Demetrius Shipp Jr., Denzel Whitaker, Keean Johnson, Kat Graham, T.I., Terrence Howard, Rob Morgan, Eiza González, Ethan Hawke, Wesley Snipes",United States,44216,2020,R,123 min,Dramas,"Bereft of opportunities in the aftermath of Hurricane Katrina, a young man and his close friends turn to a life of crime in the 9th Ward of New Orleans.",,
s1394,MOVIE,Sightless,Cooper Karl,"Madelaine Petsch, Alexander Koch, December Ensminger, Lee Jones",United States,44216,2020,TV-14,89 min,Thrillers,A former violinist grows suspicious of the new people in her life and their alarming behavior as she recovers from an assault that left her blind.,,
s1395,TV SHOW,Spycraft,,,United States,44216,2021,TV-MA,1 Season,"Docuseries, Science & Nature TV","The spy game is a serious business, and throughout history, the tools and technologies developed for it have mattered as much as the spies themselves.",,
s1396,TV SHOW,Hello Ninja,,"Lukas Engel, Zoey Siewert, Sam Vincent, Mayumi Yoshida",United States,44215,2021,TV-Y,4 Seasons,Kids' TV,"BFFs Wesley and Georgie and their silly cat sidekick Pretzel transform into ninjas and enter a magic world, where they solve problems and save the day.",,
s1397,MOVIE,Homefront,Gary Fleder,"Jason Statham, James Franco, Izabela Vidovic, Kate Bosworth, Marcus Hester, Clancy Brown, Winona Ryder, Omar Benson Miller, Rachelle Lefevre, Frank Grillo, Chuck Zito, Pruitt Taylor Vince",United States,44214,2013,R,100 min,Action & Adventure,"When an ex-DEA agent is widowed, he moves with his young daughter to a small town, but his quiet life is shattered by a meth-making drug trafficker.",,
s1398,MOVIE,A Monster Calls,J.A. Bayona,"Lewis Macdougall, Sigourney Weaver, Felicity Jones, Liam Neeson, Toby Kebbell, Ben Moor, James Melville, Oliver Steer, Dominic Boyle, Geraldine Chaplin, Jennifer Lim","United Kingdom, Spain, United States",44212,2016,PG-13,108 min,"Dramas, Sci-Fi & Fantasy","Overwhelmed by his mother’s illness, a young boy begins to understand human complexity through the fantastic tales of a consoling tree monster.",,
s1399,MOVIE,Death Of Me,Darren Lynn Bousman,"Maggie Q, Luke Hemsworth, Alex Essoe, Ingkarat Jaraswongkosol, Kelly B. Jones, Caledonia Burr","United States, Thailand",44212,2020,R,94 min,Horror Movies,"With no memory of the previous night, a vacationing couple uncovers a disturbing personal video that inexplicably shows one of them killing the other.",,
s1400,MOVIE,Radium Girls,"Lydia Dean Pilcher, Ginny Mohler","Joey King, Abby Quinn, Cara Seymour, Scott Shepherd, Susan Heyward, Neal Huff, Collin Kelly-Sordelet, John Bedford Lloyd, Joe Grifasi, Colby Minifie",United States,44212,2018,TV-14,103 min,"Dramas, Independent Movies","When the women at a radium factory begin to fall gravely and inexplicably ill, Bessie and her co-workers set out to expose a corporate cover-up.",,
s1401,TV SHOW,Bling Empire,,,United States,44211,2021,TV-MA,1 Season,Reality TV,"Follow LA's wildly wealthy Asian and Asian American fun seekers as they go all out with fabulous parties, glamour and drama in this reality series.",,
s1402,TV SHOW,Carmen Sandiego,,"Gina Rodriguez, Finn Wolfhard, Abby Trott, Michael Hawley, Michael Goldsmith, Kari Wahlgren, Sharon Muthu, Liam O'Brien, Rafael Petardi, Charlet Chung",United States,44211,2021,TV-Y7,4 Seasons,"Kids' TV, TV Thrillers","A master thief who uses her skills for good, Carmen Sandiego travels the world foiling V.I.L.E.'s evil plans – with help from her savvy sidekicks.",,
s1403,TV SHOW,Disenchantment,,"Abbi Jacobson, Eric André, Nat Faxon, John Dimaggio, Tress Macneille, Matt Berry, David Herman, Maurice Lamarche, Lucy Montgomery, Billy West",United States,44211,2021,TV-14,3 Seasons,"TV Action & Adventure, TV Comedies, TV Sci-Fi & Fantasy","Princess duties call, but she'd rather be drinking. Free-spirited Bean exasperates the king as she wreaks havoc with her demon and elf pals.",,
s1405,TV SHOW,Henry Danger,,"Jace Norman, Cooper Barnes, Riele Downs, Sean Ryan Fox, Ella Anderson, Michael D. Cohen",United States,44211,2016,TV-G,3 Seasons,"Kids' TV, TV Comedies","A new part-time job forces Henry Hart to balance two lives, one as a typical teenager and the other as secret superhero sidekick Kid Danger.",,
s1406,MOVIE,Outside The Wire,Mikael Håfström,"Anthony Mackie, Damson Idris, Emily Beecham, Michael Kelly, Pilou Asbæk","Hungary, United States",44211,2021,R,116 min,Action & Adventure,"In the near future, a drone pilot sent into a war zone finds himself paired with a top-secret android officer on a mission to stop a nuclear attack.",,
s1407,MOVIE,Penguins Of Madagascar: The Movie,"Eric Darnell, Simon J. Smith","Tom Mcgrath, Christopher Knights, Chris Miller, Conrad Vernon, John Malkovich, Benedict Cumberbatch, Ken Jeong, Annet Mahendru, Peter Stormare",United States,44211,2014,PG,92 min,"Children & Family Movies, Comedies","Elite penguin spies Skipper, Kowalski, Rico and Private join forces with the suave agents of the North Wind to defeat power-mad genius Octavius Brine.",,
s1408,MOVIE,Pinkfong & Baby Shark'S Space Adventure,Byeon Hee-Sun,"Jo Kyoung-I, Kim Seo-Yeong, Kim Eun-Ah, Jeong Jae-Heon","United States, South Korea",44211,2019,TV-Y,65 min,Children & Family Movies,"Joined by new friends from other planets, Pinkfong and Baby Shark explore outer space and search for missing star pieces to return home.",,
s1409,TV SHOW,The Magicians,,"Jason Ralph, Arjun Gupta, Hale Appleman, Stella Maeve, Summer Bishil, Olivia Taylor Dudley, Jade Tailor, Rick Worthy, Mackenzie Astin, Kacey Rohl, Charles Mesure, Keegan Connor Tracy, Trevor Einhorn","United States, Canada",44211,2020,TV-MA,5 Seasons,"TV Dramas, TV Sci-Fi & Fantasy","When grad student Quentin Coldwater enters a college specializing in magic, he learns that the mythic fantasy world he once read about is very real.",,
s1410,MOVIE,The Vanished,Peter Facinelli,"Thomas Jane, Anne Heche, Jason Patric, John D. Hickman, Peter Facinelli, Alex Haydon, Aleksei Archer, Kristopher Wente",United States,44211,2020,R,115 min,Thrillers,"When their daughter disappears during a family vacation, two terrified parents launch their own investigation that soon exposes local secrets.",,
s1412,MOVIE,What Would Sophia Loren Do?,Ross Kauffman,"Nancy ""Vincenza Careri"" Kulik, Sophia Loren",United States,44211,2021,TV-14,32 min,Documentaries,"In this delightful short documentary, an Italian American grandmother and film buff finds strength and joy in the life of her screen idol, Sophia Loren.",,
s1416,MOVIE,An Imperfect Murder,James Toback,"Sienna Miller, Alec Baldwin, Charles Grodin, Colleen Camp, John Buffalo Mailer, Nick Mathews, Steven Prescod, Oliver ""Power"" Grant, James Toback",United States,44209,2017,R,71 min,"Dramas, Thrillers","Haunted by a nightmare involving her abusive ex-boyfriend, an actress begins to question her reality and whether the incident took place.",,
s1417,TV SHOW,Night Stalker: The Hunt For A Serial Killer,Tiller Russell,,United States,44209,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries","Beneath the sunlit glamour of 1985 LA lurks a relentlessly evil serial killer. In this true-crime story, two detectives won't rest until they catch him.",,
s1419,MOVIE,Chris Rock Total Blackout: The Tamborine Extended Cut,Chris Rock,Chris Rock,Unknown,44208,2021,TV-MA,98 min,Stand-Up Comedy,"In this extended cut of his 2018 special, Chris Rock takes the stage for a special filled with searing observations on fatherhood, infidelity and politics.",,
s1420,TV SHOW,Last Tango In Halifax,Juliet May,"Derek Jacobi, Anne Reid, Sarah Lancashire, Nicola Walker, Edward Ashley, Louis Greatorex, Josh Bolt",United Kingdom,44208,2020,TV-MA,4 Seasons,"British TV Shows, Romantic TV Shows, TV Dramas",Two widowed childhood sweethearts fall for each other all over again when they are reunited over the Internet after nearly 60 years.,,
s1421,MOVIE,"Crack: Cocaine, Corruption & Conspiracy",Stanley Nelson,,United States,44207,2021,TV-MA,90 min,Documentaries,"A cheap, powerful drug emerges during a recession, igniting a moral panic fueled by racism. Explore the complex history of crack in the 1980s.",,
s1425,MOVIE,Charming,Ross Venokur,"Wilmer Valderrama, Demi Lovato, Sia, Nia Vardalos, Ashley Tisdale, Avril Lavigne, G.E.M., John Cleese, Chris Harrison, Dee Bradley Baker, Carlos Alazraqui","Canada, United States, Cayman Islands",44204,2021,TV-Y7,85 min,"Children & Family Movies, Comedies","On the eve of his 21st birthday, an adored prince must find his one, true soulmate before a spell takes away all love from his kingdom.",,
s1426,MOVIE,Creating The Queen'S Gambit,,,United States,44204,2021,TV-14,14 min,Documentaries,"A fascinating character. Exquisite sets. A wig for every era. The stars, creators and crew reveal how the hit series about a chess prodigy came to life.",,
s1428,TV SHOW,Inside The World’S Toughest Prisons,,Paul Connolly,United Kingdom,44204,2021,TV-MA,5 Seasons,"British TV Shows, Crime TV Shows, Docuseries","Investigative journalist Paul Connolly becomes a voluntary inmate in the world's most volatile prisons, where intimidation and brutality rule.",,
s1431,TV SHOW,Pretend It’S A City,,Fran Lebowitz,United States,44204,2021,TV-14,1 Season,Docuseries,"Wander the New York City streets and fascinating mind of wry writer, humorist and raconteur Fran Lebowitz as she sits down with Martin Scorsese.",,
s1436,MOVIE,Pieces Of A Woman,Kornél Mundruczó,"Vanessa Kirby, Shia Labeouf, Ellen Burstyn, Molly Parker, Sarah Snook, Iliza Shlesinger, Benny Safdie, Jimmie Fails","Canada, Hungary, United States",44203,2020,R,128 min,Dramas,"A heartbreaking home birth leaves a woman grappling with the profound emotional fallout, isolated from her partner and family by a chasm of grief.",,
s1437,MOVIE,Ratones Paranoicos: The Band That Rocked Argentina,"Alejandro Ruax, Ramiro Martínez","Juan Sebastián Gutiérrez, Pablo Cano, Pablo Memi, Roy Quiroga",Unknown,44202,2021,TV-MA,76 min,"Documentaries, International Movies, Music & Musicals","The irrepressible Ratones Paranoicos, Argentina's most enduring rock band, are featured in vintage concert and backstage footage as their story's told.",,
s1438,TV SHOW,Surviving Death,,,United States,44202,2021,TV-MA,1 Season,"Docuseries, Reality TV","What happens after we die? This docuseries explores personal stories and research on near-death experiences, reincarnation and paranormal phenomena.",,
s1440,TV SHOW,History Of Swear Words,,Nicolas Cage,United States,44201,2021,TV-MA,1 Season,"Docuseries, TV Comedies","Nicolas Cage hosts this proudly profane, funny and engagingly educational series about the history and impact of the most notorious English swear words.",,
s1441,TV SHOW,Nailed It! Mexico,,"Omar Chaparro, Anna Ruiz","Mexico, United States",44201,2021,TV-PG,3 Seasons,"International TV Shows, Reality TV, Spanish-Language TV Shows","The fun, fondant and hilarious cake fails head to Mexico, where very amateur bakers compete to re-create elaborate sweet treats for a cash prize.",,
s1443,TV SHOW,Korean Pork Belly Rhapsody,,Paik Jong-Won,Unknown,44200,2020,TV-G,1 Season,"Docuseries, International TV Shows",A love letter to pork belly — a perennial favorite among Koreans of every generation — unfolds with an exploration of its history and cooking methods.,,
s1444,TV SHOW,Qb1: Beyond The Lights,,,United States,44200,2019,TV-14,1 Season,Docuseries,This riveting series follows three star high school quarterbacks as they play their final season before moving on to Division I college football.,,
s1445,MOVIE,Playing For Keeps,Gabriele Muccino,"Gerard Butler, Jessica Biel, Catherine Zeta-Jones, Dennis Quaid, Uma Thurman, Judy Greer, Noah Lomax, James Tupper, Abella Wyss, Grant Goodman",United States,44199,2012,PG-13,106 min,"Comedies, Romantic Movies, Sports Movies","A washed-up, former soccer star attempts to rebuild his relationship with his son and ex-wife by coaching his son's soccer team.",,
s1447,MOVIE,Bad Grandpa .5,Jeff Tremaine,"Johnny Knoxville, Jackson Nicoll, Greg Harris, Georgina Cates, Kamber Hejlik, Jill Killington, Madison Davis, George Faughnan, Spike Jonze, Catherine Keener",United States,44197,2014,TV-MA,87 min,Comedies,"The geriatric antics of Irving Zisman continue in this next installment of the Jackass franchise, which features unused footage from the first film.",,
s1448,MOVIE,Case 39,Christian Alvart,"Renée Zellweger, Jodelle Ferland, Ian Mcshane, Bradley Cooper, Callum Keith Rennie, Adrian Lester, Kerry O'Malley, Cynthia Stevenson, Alexander Conti, Philip Cabrita","United States, Canada",44197,2009,R,111 min,"Horror Movies, Thrillers",A naïve social worker brings a 10-year-old child into her home to rescue the girl from abusive parents – only to learn that she isn't what she seems.,,
s1449,TV SHOW,Cobra Kai,,"Ralph Macchio, William Zabka, Xolo Maridueña, Martin Kove, Mary Mouser, Tanner Buchanan, Courtney Henggeler, Jacob Bertrand",United States,44197,2021,TV-14,3 Seasons,"TV Action & Adventure, TV Comedies, TV Dramas","Decades after the tournament that changed their lives, the rivalry between Johnny and Daniel reignites in this sequel to the ""Karate Kid"" films.",,
s1450,TV SHOW,Dream Home Makeover,,,United States,44197,2021,TV-G,2 Seasons,Reality TV,"Dreams come true for real families looking for the perfect home tailored to their own unique style, thanks to Shea and Syd McGee of Studio McGee.",,
s1451,MOVIE,Eddie Murphy: Raw,Robert Townsend,Eddie Murphy,United States,44197,1987,R,90 min,Stand-Up Comedy,"This stand-up comedy classic features Eddie Murphy live in a provocative series of impressions, observations and remembrances of his childhood.",,
s1452,MOVIE,Full Out 2: You Got This!,Jeff Deverett,"Sydney Cope, Logan Edra, Liza Wilk, Braedyn Bruner, Billie Merritt",United States,44197,2020,TV-Y,91 min,"Children & Family Movies, Dramas, Sports Movies","With a championship on the line, Chayse and her gymnastics team look to a local break-dancer for all the right moves to rise above their competition.",,
s1453,MOVIE,Gimme Shelter,Ron Krauss,"Vanessa Hudgens, James Earl Jones, Rosario Dawson, Ann Dowd, Stephanie Szostak, Emily Meade, Brendan Fraser, Dascha Polanco",United States,44197,2013,PG-13,101 min,"Dramas, Independent Movies","After running away from her abusive mother, a streetwise teen seeks refuge with her father, but he rejects her when he learns that she's pregnant.",,
s1454,MOVIE,Good Burger,Brian Robbins,"Kenan Thompson, Kel Mitchell, Abe Vigoda, Dan Schneider, Shar Jackson, Jan Schweiterman, Linda Cardellini, Sinbad, Ron Lester, Josh Server, Ginny Schreiber",United States,44197,1997,PG,96 min,"Children & Family Movies, Comedies","Working at a neighborhood fast-food joint, two teens try to save the restaurant when a giant burger franchise fires up the competition.",,
s1455,MOVIE,Good Hair,Jeff Stilson,"Chris Rock, Nia Long, Maya Angelou, Ice-T, Eve, Meagan Good, Al Sharpton, Krs-One, Raven-Symoné",United States,44197,2009,PG-13,96 min,Documentaries,Chris Rock hops around the world going from beauty salons to science labs to comb through the mystery of Black hair.,,
s1456,TV SHOW,Headspace Guide To Meditation,,Andy Puddicombe,United States,44197,2021,TV-G,1 Season,"Docuseries, Science & Nature TV","Headspace takes a friendly, animated look at the benefits of meditation while offering techniques and guided meditations to jump-start your practice.",,
s1457,MOVIE,Into The Wild,Sean Penn,"Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone, Brian Dierker, Catherine Keener, Vince Vaughn, Kristen Stewart, Hal Holbrook, Zach Galifianakis",United States,44197,2007,R,148 min,"Action & Adventure, Dramas, Independent Movies",A young man gives up everything – including his trust fund and ties to a seemingly stable family – to lead a solitary life in the wild.,,
s1458,TV SHOW,Jenni Rivera: Mariposa De Barrio,,"Angélica Celaya, Gabriel Porras, Rosalinda Rodríguez, Samadhi Zendejas, Tony Garza, Regina Orquín, Enrique Montaño, Adrián Carvajal, Emmanuel Morales, Adriano Zendejas, Xavier Ruvalcaba, Raúl Sandoval, Mauricio Novoa, Uriel Del Toro, Ana Wolfermann, Stephanie Arcila, Vanessa Pose, Alma Matrecito",United States,44197,2017,TV-MA,1 Season,"Spanish-Language TV Shows, TV Dramas",This drama follows Mexican-American singer Jenni Rivera's unlikely rise from suicidal pregnant teen and abused wife to banda superstar.,,
s1459,MOVIE,London Heist,Mark Mcqueen,"Craig Fairbrass, James Cosmo, Mem Ferda, Nick Moran, Steven Berkoff, Nathalie Cox, Roland Manookian, Eddie Webber, Tony Denham, Katie Clarkson-Hill",United Kingdom,44197,2017,R,96 min,Action & Adventure,"After a heist gone wrong, a career criminal gradually uncovers the hidden motive behind his father's murder – and it has nothing to do with money.",,
s1460,MOVIE,Mean Girls 2,Melanie Mayron,"Meaghan Martin, Maiara Walsh, Jennifer Stone, Nicole Gale Anderson, Claire Holt, Diego Boneta, Linden Ashby, Rhoda Griffis, Mike Pniewski, Patrick Johnson, Tim Meadows",United States,44197,2011,PG-13,98 min,Comedies,The father of a high school pariah offers to pay another student's way through college if she makes friends with his outcast daughter.,,
s1462,MOVIE,Mystic Pizza,Donald Petrie,"Annabeth Gish, Julia Roberts, Lili Taylor, Vincent D'Onofrio, William R. Moses, Adam Storke, Conchata Ferrell, Joanna Merlin, Porscha Radcliffe, John Fiore",United States,44197,1988,R,104 min,"Comedies, Dramas, Independent Movies","In a small fishing town, three teenage girls from blue-collar families navigate life and love while working in a pizza parlor.",,
s1463,TV SHOW,Running Man,,"Kim Seo-Yeong, Um Sang-Hyun, Kwon Changwook, Kim Yeon-Woo, Kang Shi-Hyun, Jeon Tae-Yeol, Nam Do-Hyeong, Park No-Sik",Unknown,44197,2020,TV-Y7,1 Season,"Kids' TV, TV Comedies","Wanting to bring home the ultimate prize, a group of competitors gather for a championship — and discover both friends and enemies as they play!",,
s1464,TV SHOW,The Cat In The Hat Knows A Lot About That!,Tony Collingwood,"Martin Short, Alexa Torrington, Jacob Ewaniuk, Robert Tinkler, Tracey Hoyt","Canada, United Kingdom, United States",44197,2014,TV-Y,1 Season,Kids' TV,"The Cat in the Hat is back – and this time, he's teaching Sally and her brother, Nick, some awfully nifty things to think about!",,
s1465,MOVIE,The Creative Brain,"Jennifer Beamish, Toby Trackman",David Eagleman,United States,44197,2019,TV-14,53 min,Documentaries,"Neuroscientist David Eagleman taps into the creative process of various innovators while exploring brain-bending, risk-taking ways to spark creativity.",,
s1466,TV SHOW,The Haunted Hathaways,,"Amber Frank, Curtis Harris, Benjamin Flores Jr., Breanna Yde, Ginifer King, Chico Benymon",United States,44197,2013,TV-G,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",Single mom Michelle Hathaway and her daughters find that they share their New Orleans home with the ghosts of single dad Ray Preston and his two sons.,,
s1467,MOVIE,The Minimalists: Less Is Now,,,United States,44197,2021,TV-14,54 min,Documentaries,They've built a movement out of minimalism. Longtime friends Joshua Fields Millburn and Ryan Nicodemus share how our lives can be better with less.,,
s1468,MOVIE,Unknown,Jaume Collet-Serra,"Liam Neeson, Diane Kruger, January Jones, Aidan Quinn, Bruno Ganz, Frank Langella, Sebastian Koch, Olivier Schneider, Stipe Erceg, Rainer Bock","United Kingdom, Germany, France, United States",44197,2011,PG-13,113 min,"Action & Adventure, Thrillers","Liam Neeson stars as a man who regains consciousness after a car accident, only to discover that another man is impersonating him.",,
s1470,MOVIE,What'S Eating Gilbert Grape,Lasse Hallström,"Johnny Depp, Leonardo Dicaprio, Juliette Lewis, Mary Steenburgen, Darlene Cates, Laura Harrington, Mary Kate Schellhardt, Kevin Tighe, John C. Reilly, Crispin Glover",United States,44197,1993,PG-13,118 min,"Classic Movies, Dramas, Independent Movies","In a backwater Iowa town, young Gilbert is torn between taking care of his troubled family and a girl who shows him new possibilities for his life.",,
s1471,MOVIE,Alaska Is A Drag,Shaz Bennett,"Martin L. Washington Jr., Maya Washington, Matt Dallas, Christopher O'Shea, Jason Scott Lee, Margaret Cho, Kevin Daniels, John Fleck, Nia Peeples, Adam Tomei",United States,44196,2017,TV-MA,83 min,"Dramas, LGBTQ Movies","Tormented by bullies, an aspiring drag star working at an Alaskan cannery becomes a skilled fighter and is tapped for competition by a boxing coach.",,
s1472,MOVIE,Best Of Stand-Up 2020,,"Jerry Seinfeld, Leslie Jones, Taylor Tomlinson, Tom Segura, Jack Whitehall, Michelle Buteau, Bert Kreischer, Jo Koy, Donnell Rawlings, Jim Jefferies, Nikki Glaser, George Lopez, Sam Jay, Marc Maron, Kevin Hart, Michael Mcintyre, Fortune Feimster, Eric André, Jim Norton, Felipe Esparza, Hannah Gadsby, Patton Oswalt, Vir Das, Robert Kelly, Urzila Carlson, Tom Papa, Kanan Gill, Ms. Pat, Rob Schneider, Adrienne Iapalucci, Kenny Sebastian, Thomas Middleditch, Ben Schwartz",Unknown,44196,2020,TV-MA,77 min,Stand-Up Comedy,"From Jerry Seinfeld to Leslie Jones, Kevin Hart to Hannah Gadsby, laugh along with the funniest bits from Netflix's 2020 stand-up comedy specials.",,
s1474,TV SHOW,Chilling Adventures Of Sabrina,,"Kiernan Shipka, Ross Lynch, Miranda Otto, Lucy Davis, Chance Perdomo, Michelle Gomez, Richard Coyle, Jaz Sinclair, Lachlan Watson, Tati Gabrielle, Adeline Rudolph, Abigail Cowen, Gavin Leatherwood, Bronson Pinchot",United States,44196,2020,TV-14,4 Seasons,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy","Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night.",,
s1477,TV SHOW,Best Leftovers Ever!,,"Jackie Tohn, David So, Rosemary Shrager",United States,44195,2020,TV-G,1 Season,Reality TV,Decadent pasta from day-old fries? Skillful cooks transform tired leftovers into tantalizing new dishes in this wildly creative culinary competition.,,
s1478,TV SHOW,Dare Me,,"Willa Fitzgerald, Herizen Guardiola, Marlo Kelly, Rob Heaps, Zach Roerig, Paul Fitzgerald, Alison Thornton, Tammy Blanchard, Amanda Brugel, Chris Zylka",United States,44195,2019,TV-MA,1 Season,"Crime TV Shows, TV Dramas, TV Thrillers","Relationships topple and loyalties flip when an icy new cheerleading coach takes over the high school squad ruled by Beth and her devoted BFF, Addy.",,
s1479,TV SHOW,Equinox,,"Danica Curcic, Karoline Hamm, Viola Martinsen, Lars Brygmann, Hanne Hedelund, August Issac Carter, Fanny Leander Bornedal, Ask Mossberg Truelsen, Peder Holm Johansen, Alexandre Willaume, Susanne Storm, Andrea Engelsmann Persson, Thomas Chaanhing, Morten Hauch-Fausbøll, Eskil Tonnesen","Denmark, United States",44195,2020,TV-MA,1 Season,"International TV Shows, TV Mysteries, TV Thrillers","Haunted by visions after her sister vanished with her classmates 21 years before, Astrid begins an investigation that uncovers the dark, eerie truth.",,
s1481,TV SHOW,Still Game,,"Ford Kiernan, Paul Riley, Jane Mccarry, Greg Hemphill, Mark Cox, Gavin Mitchell, Sanjeev Kohli",United Kingdom,44195,2018,TV-14,9 Seasons,"British TV Shows, Classic & Cult TV, International TV Shows","Scottish pensioners Jack and Victor make the most of their golden years, getting themselves into all kinds of scrapes in their Glasgow suburb.",,
s1483,TV SHOW,Transformers: War For Cybertron: Earthrise,,"Jake Foushee, Jason Marnocha, Linsay Rousseau, Joe Zieja, Frank Todaro, Bill Rogers, Keith Silverstein, Edward Bosco, Tessho Genda, Ryohei Kimura, Kikuko Inoue, Kazuhiko Inoue, Chafurin",Unknown,44195,2020,TV-Y7,1 Season,Anime Series,"While Megatron takes drastic measures to save the Decepticons, the Autobots fight to save all of Cybertron from both on the planet and aboard the Ark.",,
s1485,MOVIE,Cops And Robbers,"Arnon Manor, Timothy Ware-Hill",Timothy Ware-Hill,United States,44193,2020,PG-13,8 min,Dramas,Animation and activism unite in this multimedia spoken-word response to police brutality and racial injustice.,,
